0,1,2,3,4,5,6,7
LagoYuririaGto,sentinel2,B11,2019,12,16,7,566014.0
LagoYuririaGto,sentinel2,B11,2019,12,26,8,845624.0
LagoYuririaGto,sentinel2,B11,2019,12,26,9,556937.0
LagoYuririaGto,sentinel2,B11,2020,1,5,0,2044167.0
LagoYuririaGto,sentinel2,B11,2020,1,5,1,572185.0
LagoYuririaGto,sentinel2,B11,2020,1,10,2,2035189.0
LagoYuririaGto,sentinel2,B11,2020,1,10,3,568791.0
LagoYuririaGto,sentinel2,B11,2020,1,15,4,924075.0
LagoYuririaGto,sentinel2,B11,2020,1,15,5,1517309.0
LagoYuririaGto,sentinel2,B11,2020,1,20,6,1882865.0
LagoYuririaGto,sentinel2,B11,2020,1,20,7,556473.0
LagoYuririaGto,sentinel2,B11,2020,2,9,0,855244.0
LagoYuririaGto,sentinel2,B11,2020,2,9,1,544988.0
LagoYuririaGto,sentinel2,B11,2020,2,14,2,2040497.0
LagoYuririaGto,sentinel2,B11,2020,2,14,3,571690.0
LagoYuririaGto,sentinel2,B11,2020,2,19,4,885470.0
LagoYuririaGto,sentinel2,B11,2020,2,19,5,584607.0
LagoYuririaGto,sentinel2,B11,2020,2,24,6,863399.0
LagoYuririaGto,sentinel2,B11,2020,2,24,7,566347.0
LagoYuririaGto,sentinel2,B11,2020,3,10,0,2939748.0
LagoYuririaGto,sentinel2,B11,2020,3,15,1,839128.0
LagoYuririaGto,sentinel2,B11,2020,3,15,2,553348.0
LagoYuririaGto,sentinel2,B11,2020,3,20,3,868815.0
LagoYuririaGto,sentinel2,B11,2020,3,20,4,564700.0
LagoYuririaGto,sentinel2,B11,2020,3,25,5,875924.0
LagoYuririaGto,sentinel2,B11,2020,3,25,6,577997.0
LagoYuririaGto,sentinel2,B11,2020,4,4,0,847915.0
LagoYuririaGto,sentinel2,B11,2020,4,4,1,557067.0
LagoYuririaGto,sentinel2,B11,2020,4,9,2,873436.0
LagoYuririaGto,sentinel2,B11,2020,4,9,3,582202.0
LagoYuririaGto,sentinel2,B11,2020,4,14,4,876685.0
LagoYuririaGto,sentinel2,B11,2020,4,14,5,560902.0
LagoYuririaGto,sentinel2,B11,2020,4,19,6,895575.0
LagoYuririaGto,sentinel2,B11,2020,4,19,7,599684.0
LagoYuririaGto,sentinel2,B11,2020,4,24,8,881205.0
LagoYuririaGto,sentinel2,B11,2020,4,24,9,584726.0
LagoYuririaGto,sentinel2,B11,2020,5,4,0,829665.0
LagoYuririaGto,sentinel2,B11,2020,5,4,1,556700.0
LagoYuririaGto,sentinel2,B11,2020,5,9,2,2056565.0
LagoYuririaGto,sentinel2,B11,2020,5,9,3,1760610.0
LagoYuririaGto,sentinel2,B11,2020,5,14,4,817739.0
LagoYuririaGto,sentinel2,B11,2020,5,14,5,553282.0
LagoYuririaGto,sentinel2,B11,2020,5,19,6,658412.0
LagoYuririaGto,sentinel2,B11,2020,5,19,7,455585.0
LagoYuririaGto,sentinel2,B11,2020,5,24,8,2192843.0
LagoYuririaGto,sentinel2,B11,2020,5,24,9,467179.0
LagoYuririaGto,sentinel2,B11,2020,6,3,0,798238.0
LagoYuririaGto,sentinel2,B11,2020,6,3,1,534738.0
LagoYuririaGto,sentinel2,B11,2020,6,8,2,539058.0
LagoYuririaGto,sentinel2,B11,2020,6,13,3,884802.0
LagoYuririaGto,sentinel2,B11,2020,6,13,4,591312.0
