0,1,2,3,4,5,6
Janitzio,B11,2020,7,18,1,378819.0
Janitzio,B11,2020,7,18,0,375761.0
Janitzio,B11,2020,6,18,5,158928.0
Janitzio,B11,2020,6,18,4,157264.0
Janitzio,B11,2020,6,13,3,394678.0
Janitzio,B11,2020,9,1,1,394256.0
Janitzio,B11,2020,9,1,0,391338.0
Janitzio,B11,2020,8,7,3,396144.0
Janitzio,B11,2020,8,7,2,393373.0
Janitzio,B11,2020,8,2,1,392418.0
Janitzio,B11,2020,8,2,0,389338.0
Janitzio,B11,2020,10,11,4,391474.0
Janitzio,B11,2020,10,6,3,390688.0
Janitzio,B11,2020,10,6,2,387605.0
Janitzio,B11,2020,10,1,1,392542.0
Janitzio,B11,2020,10,1,0,389513.0
Janitzio,B11,2020,10,26,10,390327.0
Janitzio,B11,2020,10,26,9,387193.0
Janitzio,B11,2020,10,21,8,391765.0
Janitzio,B11,2020,10,21,7,389045.0
Janitzio,B11,2020,10,16,6,392091.0
Janitzio,B11,2020,10,16,5,389310.0
Janitzio,B11,2020,11,10,3,391727.0
Janitzio,B11,2020,11,10,2,388751.0
Janitzio,B11,2020,11,5,1,389971.0
Janitzio,B11,2020,11,5,0,387256.0
Janitzio,B11,2020,11,25,9,391500.0
Janitzio,B11,2020,11,25,8,388659.0
Janitzio,B11,2020,11,20,7,3191890.0
Janitzio,B11,2020,11,20,6,388050.0
Janitzio,B11,2020,11,15,5,391042.0
Janitzio,B11,2020,11,15,4,388030.0
Janitzio,B11,2020,12,15,4,383062.0
Janitzio,B11,2020,12,10,3,426523.0
Janitzio,B11,2020,12,10,2,2698181.0
Janitzio,B11,2020,12,5,1,386570.0
Janitzio,B11,2020,12,5,0,383996.0
Janitzio,B11,2020,12,25,8,393063.0
Janitzio,B11,2020,12,25,7,390241.0
Janitzio,B11,2020,12,20,6,388731.0
Janitzio,B11,2020,12,15,5,386005.0
Janitzio,B11,2021,1,19,5,396700.0
Janitzio,B11,2021,1,19,4,393724.0
Janitzio,B11,2021,1,9,3,2624277.0
Janitzio,B11,2021,1,9,2,2622773.0
Janitzio,B11,2021,1,4,1,391519.0
Janitzio,B11,2021,1,4,0,388555.0
Janitzio,B11,2021,2,8,3,395816.0
Janitzio,B11,2021,2,8,2,391956.0
Janitzio,B11,2021,2,3,1,396855.0
Janitzio,B11,2021,2,3,0,393374.0
Janitzio,B11,2021,2,23,9,391832.0
Janitzio,B11,2021,2,23,8,389000.0
Janitzio,B11,2021,2,18,7,391117.0
Janitzio,B11,2021,2,18,6,388321.0
Janitzio,B11,2021,2,13,5,393194.0
Janitzio,B11,2021,2,13,4,390168.0
Janitzio,B11,2021,3,15,4,388473.0
Janitzio,B11,2021,3,15,5,390924.0
Janitzio,B11,2021,3,10,3,391731.0
Janitzio,B11,2021,3,10,2,388863.0
Janitzio,B11,2021,3,5,1,392059.0
Janitzio,B11,2021,3,5,0,389232.0
Janitzio,B11,2021,3,25,9,390160.0
Janitzio,B11,2021,3,25,8,387183.0
Janitzio,B11,2021,3,20,7,396966.0
