0,1,2,3,4,5,6
LagoDeChapala,B11,2020,3,3,0,629731.0
LagoDeChapala,B11,2020,4,12,5,228169.0
LagoDeChapala,B11,2020,4,12,4,631369.0
LagoDeChapala,B11,2020,4,7,3,228968.0
LagoDeChapala,B11,2020,4,7,2,632188.0
LagoDeChapala,B11,2020,4,2,1,226705.0
LagoDeChapala,B11,2020,4,2,0,629858.0
LagoDeChapala,B11,2020,4,27,9,532205.0
LagoDeChapala,B11,2020,4,22,8,106426.0
LagoDeChapala,B11,2020,4,17,7,189268.0
LagoDeChapala,B11,2020,4,17,6,588031.0
LagoDeChapala,B11,2020,5,12,3,29384.0
LagoDeChapala,B11,2020,5,12,2,32572.0
LagoDeChapala,B11,2020,5,2,1,199881.0
LagoDeChapala,B11,2020,5,2,0,208806.0
LagoDeChapala,B11,2020,4,27,10,24184.0
LagoDeChapala,B11,2020,5,27,9,101844.0
LagoDeChapala,B11,2020,5,27,8,146042.0
LagoDeChapala,B11,2020,5,22,7,30115.0
LagoDeChapala,B11,2020,5,22,6,169703.0
LagoDeChapala,B11,2020,5,17,5,29097.0
LagoDeChapala,B11,2020,5,17,4,21456.0
LagoDeChapala,B11,2020,6,1,3,306119.0
LagoDeChapala,B11,2020,6,1,2,251457.0
LagoDeChapala,B11,2020,6,1,1,75753.0
LagoDeChapala,B11,2020,6,1,0,489964.0
LagoDeChapala,B11,2020,6,21,9,213609.0
LagoDeChapala,B11,2020,6,21,8,198229.0
LagoDeChapala,B11,2020,6,16,6,621709.0
LagoDeChapala,B11,2020,6,16,7,223881.0
LagoDeChapala,B11,2020,6,6,5,25222.0
LagoDeChapala,B11,2020,6,6,4,3140568.0
LagoDeChapala,B11,2020,7,21,3,198031.0
LagoDeChapala,B11,2020,7,21,2,411246.0
LagoDeChapala,B11,2020,7,6,1,130255.0
LagoDeChapala,B11,2020,7,6,0,3288699.0
LagoDeChapala,B11,2020,8,20,3,466519.0
LagoDeChapala,B11,2020,8,15,2,674453.0
LagoDeChapala,B11,2020,8,15,1,264852.0
LagoDeChapala,B11,2020,8,10,0,235016.0
LagoDeChapala,B11,2020,9,24,5,225998.0
LagoDeChapala,B11,2020,9,24,4,3020237.0
LagoDeChapala,B11,2020,9,14,3,228302.0
LagoDeChapala,B11,2020,9,14,2,3003308.0
LagoDeChapala,B11,2020,9,4,0,2881993.0
LagoDeChapala,B11,2020,9,4,1,230176.0
LagoDeChapala,B11,2020,10,19,5,630279.0
LagoDeChapala,B11,2020,10,14,4,3016144.0
LagoDeChapala,B11,2020,10,9,2,3052618.0
LagoDeChapala,B11,2020,10,9,3,228166.0
LagoDeChapala,B11,2020,10,4,1,226418.0
LagoDeChapala,B11,2020,10,4,0,3143158.0
LagoDeChapala,B11,2020,10,24,8,227012.0
LagoDeChapala,B11,2020,10,24,7,629970.0
LagoDeChapala,B11,2020,10,19,6,227536.0
LagoDeChapala,B11,2020,11,8,3,227288.0
LagoDeChapala,B11,2020,11,8,2,630445.0
LagoDeChapala,B11,2020,11,3,1,227127.0
LagoDeChapala,B11,2020,11,3,0,630496.0
LagoDeChapala,B11,2020,11,23,9,229239.0
LagoDeChapala,B11,2020,11,23,8,630453.0
LagoDeChapala,B11,2020,11,18,7,227268.0
LagoDeChapala,B11,2020,11,18,6,630512.0
LagoDeChapala,B11,2020,11,13,5,227037.0
LagoDeChapala,B11,2020,11,13,4,630392.0
LagoDeChapala,B11,2020,12,18,5,227789.0
LagoDeChapala,B11,2020,12,18,4,630866.0
LagoDeChapala,B11,2020,12,13,3,228316.0
LagoDeChapala,B11,2020,12,13,2,3172409.0
